Folio_OP,Usuario,OT_Cliente,Fecha_OT,Fecha_Compromiso,Almacen,Area_Produccion,MP_BL_ORIGEN,Articulo_Compuesto,Lote,Caducidad,Cantidad_a_Producir,PT_BL_DESTINO,LP_CONTENEDOR,LP_PALLET,Referencia
,,45906094,,10/10/2025,,,,A6-43019-001B2-106,,,12,,45906094$A6-43019-001B2-106$12$001,LP20252512-00001,
,,45906095,,10/10/2025,,,,A6-43019-001B2-107,,,12,,45893674$A6-43019-001B2-107$12$152,LP20252512-00001,
,,45906096,,10/10/2025,,,,A6-43019-001B2-105,,,12,,45898629$A6-43019-001B2-105$12$049,LP20252512-00001,
,,45906097,,10/10/2025,,,,A6-43019-001B2-105,,,12,,45898629$A6-43019-001B2-105$12$051,LP20252512-00001,
,,45906098,,10/10/2025,,,,A6-43019-001B2-105,,,12,,45898629$A6-43019-001B2-105$12$050,LP20252512-00001,
,,45906099,,10/10/2025,,,,A6-43019-001B2-105,,,12,,45898629$A6-43019-001B2-105$12$054,LP20252512-00001, 
,,45906100,,10/10/2025,,,,A6-43019-001B2-106,,,12,,45906094$A6-43019-001B2-106$12$003,LP20252512-00001,
,,45906101,,10/10/2025,,,,A6-43019-001B2-105,,,12,,45898629$A6-43019-001B2-105$12$053,LP20252512-00001,
,,45906102,,10/10/2025,,,,A6-43019-001B2-106,,,12,,45906094$A6-43019-001B2-106$12$002,LP20252512-00001,
,,45906103,,10/10/2025,,,,A6-43019-001B2-108,,,12,,45900549$A6-43019-001B2-108$12$041,LP20252512-00001,
,,45906104,,10/10/2025,,,,A6-43019-001B2-108,,,12,,45900549$A6-43019-001B2-108$12$040,LP20252512-00001,
,,45906105,,10/10/2025,,,,A6-43019-001B2-107,,,12,,45893674$A6-43019-001B2-107$12$104,LP20252512-00001,
,,45906106,,10/10/2025,,,,A6-43032-001B2-124,,,24,,45901490$A6-43032-001B2-124$24$035,LP20252512-00001,
,,45906107,,10/10/2025,,,,A6-43019-001B2-110,,,12,,45900551$A6-43019-001B2-110$12$059,LP20252512-00002,
,,45906108,,10/10/2025,,,,A6-43032-001B2-122,,,24,,45906208$A6-43032-001B2-122$24$015,LP20252512-00002,
,,45906109,,10/10/2025,,,,A6-43032-001B2-125,,,24,,45909921$A6-43032-001B2-125$24$007,LP20252512-00002,
,,45906110,,10/10/2025,,,,A6-43032-001B2-125,,,24,,45909921$A6-43032-001B2-125$24$008,LP20252512-00002,
,,45906111,,10/10/2025,,,,A6-43019-001B2-107,,,12,,45893674$A6-43019-001B2-107$12$153,LP20252512-00002,
,,45906112,,10/10/2025,,,,A6-43019-001B2-107,,,12,,45893674$A6-43019-001B2-107$12$105,LP20252512-00002,
,,45906113,,10/10/2025,,,,A6-43019-001B2-107,,,12,,45893674$A6-43019-001B2-107$12$108,LP20252512-00002,
,,45906114,,10/10/2025,,,,A6-43032-001B2-112,,,24,,45906204$A6-43032-001B2-112$24$014,LP20252512-00002,
,,45906115,,10/10/2025,,,,A6-43032-001B2-112,,,24,,45906204$A6-43032-001B2-112$24$013,LP20252512-00002,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
